rawVesNames,mappedVesNames
MARAN PENWLOPE,MARAN PENELOPE
MARAN THALEIA - 1ST,MARAN THALEIA
MARAN THALEIA - 2ND,MARAN THALEIA
MARIA BOTTILIERI,DONG JIANG MING (MARIA BOTTIGLIERI)
MARINE PRINCES,MARINE PRINCE
MARLIN ARROW,MERLIN ARROW
MARLINE MARSHALL,MARLIN MARSHALL
MAS CONFIDENCE,MAAS CONFIDENCE
MATTEOS I,MATTHEOS I
MAYOURI,MAYOURY
MED ADRIATIC,MED ADRIATIC
MED BLUE JAY,MED BLUE JAY
MED PAKIZA,MED PAKIZE
MED PAKIZE,MED PAKIZE
MEDI ZOUZ,MEDI ZUOZ
MEITIS,METIS
MELIGUNIS,MELIGUNIS M
MERIDIAAN,VERTOM MERIDIAAN
MERLION,MERLION
MINA DENIZ,MINA DENIZ
MINAVA DOXA,MINERVA DOXA
MONTERREY BAY,MONTEREY BAY
MP MR TANKE 2,MP MR TANKER 2
MRC EMIRHAN,MRC EMIRHAN
MRC HATICE ANA,MRC HATICE ANA
MRC SEMIRAMIS,MRC SEMIRAMIS
MSEA LORD,SEA LORD
MT AL JABIRAH,AL JABIRAH
MT ASTRO PLARIS,ASTRO POLARIS
MT BOCHEM CHENNAI,BOCHEM CHENNAI
MT BOCHEM MUMBAI,BOCHEM MUMBAI
MT BUSAN HOPE,BUSAN HOPE
MT CELOSIA,CELOSIA
MT CHEM HARVEST,CHEM HARVEST
MT CHEMROUTE SKY,CHEMROUTE SKY
MT CORONET,CORONET
MT CORONET [B/LOADING],CORONET
MT COURAGE,WORLD COURAGE
MT CT CONFIDENCE,CT CONFIDENCE
MT DAEHO SUNSTAR,DAEHO SUN STAR
MT DAWN HARIWAR,M.T DAWN HARIDWAR
MT DESH ABHIMAN,DESH ABHIMAAN
MT DESH SAMMAN,DESH SAMMAN
MT DESH SHANTI,DESH SHANTI 
MT DESH SHOBHA,DESH SHOBHA
MT DESH SOBHA,DESH SHOBHA
MT DESH SURAKHA,DESH SURAKSHA
MT FAIRCHEM EDGE,FAIRCHEM EDGE
MT GAS COMMERCE,GAS COMMERCE
MT GLOBAL PIONEER,GLOBAL PIONEER
MT GOLBAL POINEER,GLOBAL PIONEER
MT HARMONICS,HARMONICS
MT JAG PADMA,JAG PADMA
MT JAG PRABHA,MT.JAG PRABHA
MT KESTREL,KESTREL
MT MAERSK KATARINA,MAERSK KATARINA
MT NEW LEGEND,NEW LEGEND
MT NORD OCEAN,NORDOCEAN
MT OCEAN CHEMIST,OCEAN CHEMIST
MT PBT AZURA,PVT AZURA
MT POH FANG SINGAPORE,POH FANG SINGAPORE
MT POLARIS HORIZON,POLARIS HORIZON
MT POROS,POROS
MT PRO SAPPHIRE,PRO SAPPHIRE
MT SANMAR SRUTHI [D/T],SANMAR SRUTHI
MT SANMAR SWARA [M/T],SANMAR SWARA
MT SEA VIOLET,SEAVIOLET
MT SOUTH SEA,SOUTH SEA
MT SPARKLE,SPARKLE
MT SULPHUR GUARDIAN,SULPHUR GUARDIAN
MT SWARNA GANGA,SWARNA GANGA
MT SWARNA KALASH,SWARNA KALASH
MT TATAKI,TATAKI
MTM MISSISSIPPI,MTM MISSISSIPPI
MV  DRAGON,DRAGON
MV  GUANA,GUANA
MV  KHALEJIA ANA 3,KHALEJIA ANA 3
MV AG VALOR,AG VALOR
MV AGIA VALENTINI,AGIA VALENTINI
MV AKIJ  NOBLE,AKIJ  NOBLE
MV AKIJ GLOBE (EXP-F) Mech,AKIJ GLOBE 
MV AKIJ HERITAGE,AKIJ HERITAGE
MV AKIJ NOBLE,AKIJ NOBLE
MV AKIJ PEARL,AKIJ PEARL
MV ALDA,ALDA
MV ALGRACE,ALGRACE
MV ALICIA 8,ALICIA 8
MV ALIKI PERROTIS,ALIKI PERROTIS
MV ALKYONI SB,ALKYONI SB
MV ALMAR (Exp-F),ALMAR 
MV AM LIBERIA (MGT-P),AM LIBERIA
MV AN HAI STAR,AN HAI STAR
MV ANITA,ANITA
MV APJ ANGAD 2,APJ ANGAD 2
MV APJ KIAS,M.V.APJ KAIS
MV APRILIA (EXP-F),APRILIA 
MV AQUA VITA SOL (MGT-P),AQUAVITA SOL
MV AQUAVITA SEA (MGT-P),AQUAVITA SEA
MV ARCADIA,ARCADIA
MV ARISTIDIS (MGT-P),ARISTIDIS 
MV ARUN,ARUN
MV ARUN (MGT-P) (Baby Cape),ARUN
MV ASHOK,GCL GANGA
